Country, Cumulative_cases, Cumulative_deaths
United States of America,6222974,188003
Brazil,4137521,126650
India,4280422,72775
Mexico,634023,67558
The United Kingdom,350104,41554
Italy,278784,35553
France,311587,30572
Peru,689977,29838
Spain,498989,29418
Iran (Islamic Republic of),388810,22410
Colombia,666521,21412
Russian Federation,1035789,17993
South Africa,639362,15004
Chile,424274,11652
Ecuador,110092,10576
Argentina,478792,9912
Belgium,88675,9909
Germany,252298,9329
Canada,131895,9145
Indonesia,196989,8130
Iraq,264684,7589
Bolivia (Plurinational State of),120769,7008
Turkey,281509,6730
Pakistan,298903,6345
Netherlands,75512,6234
Sweden,85558,5837
Egypt,99863,5530
China,90573,4739
Bangladesh,327359,4516
Saudi Arabia,321595,4107
Romania,95897,3926
Philippines,238727,3890
Ukraine,140479,2934
Guatemala,77828,2862
Poland,71126,2124
Panama,97043,2086
Honduras,64764,2007
Kazakhstan,134203,1948
Dominican Republic,99898,1864
Portugal,60507,1843
Ireland,29774,1777
Switzerland,44484,1734
Algeria,46653,1562
Afghanistan,38494,1415
Morocco,73780,1394
Japan,72234,1377
Republic of Moldova,40055,1074
Kyrgyzstan,44526,1062
Nigeria,55160,1061
Israel,129203,1008
Ethiopia,59648,933
Armenia,44953,903
Sudan,13437,833
El Salvador,26413,764
Australia,26322,762
Austria,29875,746
Oman,87328,734
Serbia,31941,725
Belarus,73031,716
Bulgaria,17146,677
Bosnia and Herzegovina,21656,657
Denmark,18113,628
Hungary,8963,625
North Macedonia,15127,623
Kenya,35205,599
Yemen,1993,574
Kosovo[1],14161,558
Azerbaijan,37418,551
Kuwait,90387,546
Costa Rica,48780,510
Puerto Rico,35375,477
Czechia,28716,437
Paraguay,22486,435
Venezuela (Bolivarian Republic of),53289,428
Cameroon,19848,415
United Arab Emirates,74454,390
Uzbekistan,44107,356
Republic of Korea,21432,341
Finland,8327,336
Albania,10406,319
Nepal,47236,300
Libya,18834,296
Zambia,12836,295
Senegal,13987,290
Greece,11663,289
Ghana,44777,283
Norway,11387,264
Democratic Republic of the Congo,10232,260
Haiti,8360,214
Zimbabwe,7116,208
Qatar,120348,205
Madagascar,15352,202
Croatia,12081,201
Lebanon,20826,200
Bahrain,55415,199
Malawi,5621,176
Mauritania,7164,160
Nicaragua,3773,141
Syrian Arab Republic,3171,134
Slovenia,3190,130
Malaysia,9459,128
Mali,2870,127
Luxembourg,6950,124
Angola,2981,120
Côte d’Ivoire,18701,119
Congo,4891,114
Montenegro,5853,109
Cuba,4352,102
Gambia,3196,99
Somalia,3362,97
Eswatini,4884,94
Tunisia,5041,93
Namibia,8810,91
Lithuania,3100,86
Suriname,4346,85
Equatorial Guinea,4985,83
Liberia,1311,82
Chad,1040,79
Sierra Leone,2055,71
Tajikistan,8824,70
Niger,1178,69
Estonia,2532,64
Central African Republic,4729,62
French Guiana,9355,62
Guinea,9816,62
Djibouti,5388,61
Bahamas,2546,58
Thailand,3446,58
Burkina Faso,1452,55
Andorra,1261,53
Gabon,8608,53
South Sudan,2552,49
Guyana,1468,46
Uruguay,1679,45
Uganda,3776,44
Cabo Verde,4358,42
San Marino,735,42
Benin,2213,40
Mayotte,3374,40
Guinea-Bissau,2245,38
Slovakia,4636,37
Latvia,1429,35
Trinidad and Tobago,2254,35
Viet Nam,1049,35
Jamaica,3103,33
Jersey,384,32
Togo,1488,32
Lesotho,1164,31
Maldives,8667,29
Mozambique,4557,27
Singapore,57044,27
Isle of Man,337,24
New Zealand,1431,24
Cyprus,1510,21
United Republic of Tanzania,509,21
Guadeloupe,1363,20
Georgia,1729,19
Rwanda,4409,19
Sint Maarten,511,19
Guam,1672,18
Martinique,758,18
Jordan,2478,17
United States Virgin Islands,1190,17
Belize,1261,15
Malta,2076,15
Sao Tome and Principe,898,15
Aruba,2449,14
Guernsey,252,13
Other,741,13
Sri Lanka,3123,12
Iceland,2143,10
Mauritius,356,10
Bermuda,175,9
Botswana,2126,9
Myanmar,1610,8
Réunion,2277,8
Barbados,179,7
Comoros,448,7
Saint Martin,239,6
Papua New Guinea,497,5
Turks and Caicos Islands,599,5
Antigua and Barbuda,95,3
Brunei Darussalam,145,3
"occupied Palestinian territory,789,3
Fiji,31,2
Northern Mariana Islands (Commonwealth of the),59,2
British Virgin Islands,63,1
Burundi,466,1
Cayman Islands,205,1
Curaçao,92,1
Liechtenstein,108,1
Monaco,153,1
Montserrat,13,1
Anguilla,3,0
Bhutan,233,0
"Bonaire,3,0
Cambodia,274,0
Dominica,22,0
Eritrea,330,0
Falkland Islands (Malvinas),13,0
Faroe Islands,413,0
French Polynesia,773,0
Gibraltar,315,0
Greenland,14,0
Grenada,24,0
Holy See,12,0
Lao People's Democratic Republic,22,0
Mongolia,310,0
New Caledonia,26,0
Saint Barthélemy,18,0
Saint Kitts and Nevis,17,0
Saint Lucia,26,0
Saint Pierre and Miquelon,9,0
Saint Vincent and the Grenadines,61,0
Seychelles,135,0
Timor-Leste,27,0
