Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-03-03,CL,Chile,AMRO,1,1,0,0
2020-03-04,CL,Chile,AMRO,0,1,0,0
2020-03-05,CL,Chile,AMRO,0,1,0,0
2020-03-06,CL,Chile,AMRO,4,5,0,0
2020-03-07,CL,Chile,AMRO,0,5,0,0
2020-03-08,CL,Chile,AMRO,5,10,0,0
2020-03-09,CL,Chile,AMRO,0,10,0,0
2020-03-10,CL,Chile,AMRO,3,13,0,0
2020-03-11,CL,Chile,AMRO,4,17,0,0
2020-03-12,CL,Chile,AMRO,6,23,0,0
2020-03-13,CL,Chile,AMRO,20,43,0,0
2020-03-14,CL,Chile,AMRO,18,61,0,0
2020-03-15,CL,Chile,AMRO,0,61,0,0
2020-03-16,CL,Chile,AMRO,14,75,0,0
2020-03-17,CL,Chile,AMRO,81,156,0,0
2020-03-18,CL,Chile,AMRO,82,238,0,0
2020-03-19,CL,Chile,AMRO,104,342,0,0
2020-03-20,CL,Chile,AMRO,92,434,0,0
2020-03-21,CL,Chile,AMRO,0,434,1,1
2020-03-22,CL,Chile,AMRO,0,434,0,1
2020-03-23,CL,Chile,AMRO,198,632,0,1
2020-03-24,CL,Chile,AMRO,290,922,1,2
2020-03-25,CL,Chile,AMRO,0,922,0,2
2020-03-26,CL,Chile,AMRO,384,1306,2,4
2020-03-27,CL,Chile,AMRO,0,1306,0,4
2020-03-28,CL,Chile,AMRO,304,1610,1,5
2020-03-29,CL,Chile,AMRO,299,1909,1,6
2020-03-30,CL,Chile,AMRO,0,1909,0,6
2020-03-31,CL,Chile,AMRO,540,2449,2,8
2020-04-01,CL,Chile,AMRO,289,2738,4,12
2020-04-02,CL,Chile,AMRO,293,3031,4,16
2020-04-03,CL,Chile,AMRO,373,3404,2,18
2020-04-04,CL,Chile,AMRO,333,3737,4,22
2020-04-05,CL,Chile,AMRO,424,4161,5,27
2020-04-06,CL,Chile,AMRO,310,4471,7,34
2020-04-07,CL,Chile,AMRO,344,4815,3,37
2020-04-08,CL,Chile,AMRO,301,5116,6,43
2020-04-09,CL,Chile,AMRO,430,5546,5,48
2020-04-10,CL,Chile,AMRO,426,5972,9,57
2020-04-11,CL,Chile,AMRO,529,6501,8,65
2020-04-12,CL,Chile,AMRO,426,6927,8,73
2020-04-13,CL,Chile,AMRO,286,7213,7,80
2020-04-14,CL,Chile,AMRO,312,7525,2,82
2020-04-15,CL,Chile,AMRO,392,7917,10,92
2020-04-16,CL,Chile,AMRO,356,8273,2,94
2020-04-17,CL,Chile,AMRO,534,8807,11,105
2020-04-18,CL,Chile,AMRO,445,9252,11,116
2020-04-19,CL,Chile,AMRO,478,9730,10,126
2020-04-20,CL,Chile,AMRO,358,10088,7,133
2020-04-21,CL,Chile,AMRO,419,10507,6,139
2020-04-22,CL,Chile,AMRO,325,10832,8,147
2020-04-23,CL,Chile,AMRO,464,11296,13,160
2020-04-24,CL,Chile,AMRO,516,11812,8,168
2020-04-25,CL,Chile,AMRO,494,12306,6,174
2020-04-26,CL,Chile,AMRO,552,12858,7,181
2020-04-27,CL,Chile,AMRO,473,13331,8,189
2020-04-28,CL,Chile,AMRO,482,13813,9,198
2020-04-29,CL,Chile,AMRO,552,14365,9,207
2020-04-30,CL,Chile,AMRO,520,14885,9,216
2020-05-01,CL,Chile,AMRO,1138,16023,11,227
2020-05-02,CL,Chile,AMRO,985,17008,7,234
2020-05-03,CL,Chile,AMRO,1427,18435,13,247
2020-05-04,CL,Chile,AMRO,1228,19663,13,260
2020-05-05,CL,Chile,AMRO,980,20643,10,270
2020-05-06,CL,Chile,AMRO,1373,22016,5,275
2020-05-07,CL,Chile,AMRO,1032,23048,6,281
2020-05-08,CL,Chile,AMRO,1533,24581,4,285
2020-05-09,CL,Chile,AMRO,1391,25972,9,294
2020-05-10,CL,Chile,AMRO,1247,27219,10,304
2020-05-11,CL,Chile,AMRO,1647,28866,8,312
2020-05-12,CL,Chile,AMRO,1197,30063,11,323
2020-05-13,CL,Chile,AMRO,1658,31721,12,335
2020-05-14,CL,Chile,AMRO,2660,34381,11,346
2020-05-15,CL,Chile,AMRO,2659,37040,22,368
2020-05-16,CL,Chile,AMRO,0,37040,0,368
2020-05-17,CL,Chile,AMRO,4388,41428,53,421
2020-05-18,CL,Chile,AMRO,2353,43781,29,450
2020-05-19,CL,Chile,AMRO,2278,46059,28,478
2020-05-20,CL,Chile,AMRO,0,46059,0,478
2020-05-21,CL,Chile,AMRO,7558,53617,66,544
2020-05-22,CL,Chile,AMRO,0,53617,0,544
2020-05-23,CL,Chile,AMRO,8240,61857,86,630
2020-05-24,CL,Chile,AMRO,3536,65393,43,673
2020-05-25,CL,Chile,AMRO,3709,69102,45,718
2020-05-26,CL,Chile,AMRO,4895,73997,43,761
2020-05-27,CL,Chile,AMRO,3964,77961,45,806
2020-05-28,CL,Chile,AMRO,4328,82289,35,841
2020-05-29,CL,Chile,AMRO,4654,86943,49,890
2020-05-30,CL,Chile,AMRO,3695,90638,54,944
2020-05-31,CL,Chile,AMRO,4220,94858,53,997
2020-06-01,CL,Chile,AMRO,4830,99688,57,1054
2020-06-02,CL,Chile,AMRO,5471,105159,59,1113
2020-06-03,CL,Chile,AMRO,3527,108686,75,1188
2020-06-04,CL,Chile,AMRO,4942,113628,87,1275
2020-06-05,CL,Chile,AMRO,4664,118292,81,1356
2020-06-06,CL,Chile,AMRO,4207,122499,92,1448
2020-06-07,CL,Chile,AMRO,5246,127745,93,1541
2020-06-08,CL,Chile,AMRO,6405,134150,96,1637
2020-06-09,CL,Chile,AMRO,4696,138846,627,2264
2020-06-10,CL,Chile,AMRO,3913,142759,19,2283
2020-06-11,CL,Chile,AMRO,5737,148496,192,2475
2020-06-12,CL,Chile,AMRO,5596,154092,173,2648
2020-06-13,CL,Chile,AMRO,6754,160846,222,2870
2020-06-14,CL,Chile,AMRO,6509,167355,231,3101
2020-06-15,CL,Chile,AMRO,6938,174293,222,3323
2020-06-16,CL,Chile,AMRO,5143,179436,39,3362
2020-06-17,CL,Chile,AMRO,5013,184449,21,3383
2020-06-18,CL,Chile,AMRO,36179,220628,232,3615
2020-06-19,CL,Chile,AMRO,4475,225103,226,3841
2020-06-20,CL,Chile,AMRO,6290,231393,252,4093
2020-06-21,CL,Chile,AMRO,5355,236748,202,4295
2020-06-22,CL,Chile,AMRO,5607,242355,184,4479
2020-06-23,CL,Chile,AMRO,4608,246963,23,4502
2020-06-24,CL,Chile,AMRO,3804,250767,3,4505
2020-06-25,CL,Chile,AMRO,3649,254416,226,4731
2020-06-26,CL,Chile,AMRO,4648,259064,172,4903
2020-06-27,CL,Chile,AMRO,4296,263360,165,5068
2020-06-28,CL,Chile,AMRO,4406,267766,279,5347
2020-06-29,CL,Chile,AMRO,4216,271982,162,5509
2020-06-30,CL,Chile,AMRO,4017,275999,66,5575
2020-07-01,CL,Chile,AMRO,3394,279393,113,5688
2020-07-02,CL,Chile,AMRO,2650,282043,65,5753
2020-07-03,CL,Chile,AMRO,2498,284541,167,5920
2020-07-04,CL,Chile,AMRO,3548,288089,131,6051
2020-07-05,CL,Chile,AMRO,3758,291847,141,6192
2020-07-06,CL,Chile,AMRO,3685,295532,116,6308
2020-07-07,CL,Chile,AMRO,3025,298557,76,6384
2020-07-08,CL,Chile,AMRO,2462,301019,50,6434
2020-07-09,CL,Chile,AMRO,2064,303083,139,6573
2020-07-10,CL,Chile,AMRO,3133,306216,109,6682
2020-07-11,CL,Chile,AMRO,3058,309274,99,6781
2020-07-12,CL,Chile,AMRO,2755,312029,100,6881
2020-07-13,CL,Chile,AMRO,3012,315041,98,6979
2020-07-14,CL,Chile,AMRO,2616,317657,45,7024
2020-07-15,CL,Chile,AMRO,1836,319493,45,7069
2020-07-16,CL,Chile,AMRO,1712,321205,117,7186
2020-07-17,CL,Chile,AMRO,2493,323698,104,7290
2020-07-18,CL,Chile,AMRO,2841,326539,1057,8347
2020-07-19,CL,Chile,AMRO,2307,328846,98,8445
2020-07-20,CL,Chile,AMRO,2084,330930,58,8503
2020-07-21,CL,Chile,AMRO,2099,333029,130,8633
2020-07-22,CL,Chile,AMRO,1654,334683,44,8677
