Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-24,FR,France,EURO,7,7,0,0
2020-01-25,FR,France,EURO,0,7,0,0
2020-01-26,FR,France,EURO,0,7,0,0
2020-01-27,FR,France,EURO,0,7,0,0
2020-01-28,FR,France,EURO,1,8,0,0
2020-01-29,FR,France,EURO,0,8,0,0
2020-01-30,FR,France,EURO,2,10,0,0
2020-01-31,FR,France,EURO,0,10,0,0
2020-02-01,FR,France,EURO,0,10,0,0
2020-02-02,FR,France,EURO,0,10,0,0
2020-02-03,FR,France,EURO,0,10,0,0
2020-02-04,FR,France,EURO,0,10,0,0
2020-02-05,FR,France,EURO,0,10,0,0
2020-02-06,FR,France,EURO,0,10,0,0
2020-02-07,FR,France,EURO,0,10,0,0
2020-02-08,FR,France,EURO,5,15,0,0
2020-02-09,FR,France,EURO,0,15,0,0
2020-02-10,FR,France,EURO,0,15,0,0
2020-02-11,FR,France,EURO,0,15,0,0
2020-02-12,FR,France,EURO,0,15,0,0
2020-02-13,FR,France,EURO,0,15,0,0
2020-02-14,FR,France,EURO,0,15,0,0
2020-02-15,FR,France,EURO,0,15,1,1
2020-02-16,FR,France,EURO,1,16,0,1
2020-02-17,FR,France,EURO,0,16,0,1
2020-02-18,FR,France,EURO,0,16,0,1
2020-02-19,FR,France,EURO,0,16,0,1
2020-02-20,FR,France,EURO,0,16,0,1
2020-02-21,FR,France,EURO,0,16,0,1
2020-02-22,FR,France,EURO,0,16,0,1
2020-02-23,FR,France,EURO,0,16,0,1
2020-02-24,FR,France,EURO,0,16,0,1
2020-02-25,FR,France,EURO,0,16,0,1
2020-02-26,FR,France,EURO,6,22,1,2
2020-02-27,FR,France,EURO,0,22,0,2
2020-02-28,FR,France,EURO,39,61,0,2
2020-02-29,FR,France,EURO,43,104,0,2
2020-03-01,FR,France,EURO,0,104,0,2
2020-03-02,FR,France,EURO,88,192,1,3
2020-03-03,FR,France,EURO,21,213,1,4
2020-03-04,FR,France,EURO,73,286,0,4
2020-03-05,FR,France,EURO,138,424,2,6
2020-03-06,FR,France,EURO,193,617,3,9
2020-03-07,FR,France,EURO,93,710,1,10
2020-03-08,FR,France,EURO,410,1120,9,19
2020-03-09,FR,France,EURO,286,1406,11,30
2020-03-10,FR,France,EURO,372,1778,3,33
2020-03-11,FR,France,EURO,495,2273,15,48
2020-03-12,FR,France,EURO,12,2285,0,48
2020-03-13,FR,France,EURO,1359,3644,31,79
2020-03-14,FR,France,EURO,829,4473,12,91
2020-03-15,FR,France,EURO,911,5384,36,127
2020-03-16,FR,France,EURO,1193,6577,21,148
2020-03-17,FR,France,EURO,1079,7656,27,175
2020-03-18,FR,France,EURO,1391,9047,69,244
2020-03-19,FR,France,EURO,1830,10877,128,372
2020-03-20,FR,France,EURO,1598,12475,78,450
2020-03-21,FR,France,EURO,1821,14296,112,562
2020-03-22,FR,France,EURO,0,14296,0,562
2020-03-23,FR,France,EURO,1525,15821,112,674
2020-03-24,FR,France,EURO,3794,19615,186,860
2020-03-25,FR,France,EURO,2410,22025,240,1100
2020-03-26,FR,France,EURO,2895,24920,231,1331
2020-03-27,FR,France,EURO,3866,28786,364,1695
2020-03-28,FR,France,EURO,3756,32542,297,1992
2020-03-29,FR,France,EURO,4603,37145,319,2311
2020-03-30,FR,France,EURO,2497,39642,291,2602
2020-03-31,FR,France,EURO,4335,43977,415,3017
2020-04-01,FR,France,EURO,7500,51477,497,3514
2020-04-02,FR,France,EURO,4784,56261,505,4019
2020-04-03,FR,France,EURO,2066,58327,471,4490
2020-04-04,FR,France,EURO,5209,63536,2003,6493
2020-04-05,FR,France,EURO,4221,67757,1053,7546
2020-04-06,FR,France,EURO,1850,69607,518,8064
2020-04-07,FR,France,EURO,3881,73488,832,8896
2020-04-08,FR,France,EURO,3738,77226,1417,10313
2020-04-09,FR,France,EURO,3869,81095,540,10853
2020-04-10,FR,France,EURO,4256,85351,1339,12192
2020-04-11,FR,France,EURO,4332,89683,987,13179
2020-04-12,FR,France,EURO,3104,92787,635,13814
2020-04-13,FR,France,EURO,1595,94382,560,14374
2020-04-14,FR,France,EURO,2668,97050,572,14946
2020-04-15,FR,France,EURO,5483,102533,762,15708
2020-04-16,FR,France,EURO,2622,105155,1438,17146
2020-04-17,FR,France,EURO,2623,107778,753,17899
2020-04-18,FR,France,EURO,385,108163,760,18659
2020-04-19,FR,France,EURO,2558,110721,635,19294
2020-04-20,FR,France,EURO,742,111463,395,19689
2020-04-21,FR,France,EURO,2050,113513,544,20233
2020-04-22,FR,France,EURO,2638,116151,530,20763
2020-04-23,FR,France,EURO,1810,117961,544,21307
2020-04-24,FR,France,EURO,1622,119583,516,21823
2020-04-25,FR,France,EURO,1755,121338,389,22212
2020-04-26,FR,France,EURO,1537,122875,368,22580
2020-04-27,FR,France,EURO,404,123279,241,22821
2020-04-28,FR,France,EURO,1160,124439,440,23261
2020-04-29,FR,France,EURO,1025,125464,366,23627
2020-04-30,FR,France,EURO,1602,127066,427,24054
2020-05-01,FR,France,EURO,1055,128121,288,24342
2020-05-02,FR,France,EURO,601,128722,218,24560
2020-05-03,FR,France,EURO,736,129458,164,24724
2020-05-04,FR,France,EURO,250,129708,135,24859
