Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-03,DE,Germany,EURO,0,0,0,0
2020-01-04,DE,Germany,EURO,0,0,0,0
2020-01-05,DE,Germany,EURO,0,0,0,0
2020-01-06,DE,Germany,EURO,0,0,0,0
2020-01-07,DE,Germany,EURO,0,0,0,0
2020-01-08,DE,Germany,EURO,0,0,0,0
2020-01-09,DE,Germany,EURO,0,0,0,0
2020-01-10,DE,Germany,EURO,0,0,0,0
2020-01-11,DE,Germany,EURO,0,0,0,0
2020-01-12,DE,Germany,EURO,0,0,0,0
2020-01-13,DE,Germany,EURO,0,0,0,0
2020-01-14,DE,Germany,EURO,0,0,0,0
2020-01-15,DE,Germany,EURO,0,0,0,0
2020-01-16,DE,Germany,EURO,0,0,0,0
2020-01-17,DE,Germany,EURO,0,0,0,0
2020-01-18,DE,Germany,EURO,0,0,0,0
2020-01-19,DE,Germany,EURO,0,0,0,0
2020-01-20,DE,Germany,EURO,0,0,0,0
2020-01-21,DE,Germany,EURO,0,0,0,0
2020-01-22,DE,Germany,EURO,0,0,0,0
2020-01-23,DE,Germany,EURO,0,0,0,0
2020-01-24,DE,Germany,EURO,0,0,0,0
2020-01-25,DE,Germany,EURO,0,0,0,0
2020-01-26,DE,Germany,EURO,0,0,0,0
2020-01-27,DE,Germany,EURO,0,0,0,0
2020-01-28,DE,Germany,EURO,1,1,0,0
2020-01-29,DE,Germany,EURO,3,4,0,0
2020-01-30,DE,Germany,EURO,0,4,0,0
2020-01-31,DE,Germany,EURO,1,5,0,0
2020-02-01,DE,Germany,EURO,2,7,0,0
2020-02-02,DE,Germany,EURO,1,8,0,0
2020-02-03,DE,Germany,EURO,1,9,0,0
2020-02-04,DE,Germany,EURO,2,11,0,0
2020-02-05,DE,Germany,EURO,0,11,0,0
2020-02-06,DE,Germany,EURO,0,11,0,0
2020-02-07,DE,Germany,EURO,1,12,0,0
2020-02-08,DE,Germany,EURO,1,13,0,0
2020-02-09,DE,Germany,EURO,0,13,0,0
2020-02-10,DE,Germany,EURO,0,13,0,0
2020-02-11,DE,Germany,EURO,0,13,0,0
2020-02-12,DE,Germany,EURO,2,15,0,0
2020-02-13,DE,Germany,EURO,0,15,0,0
2020-02-14,DE,Germany,EURO,0,15,0,0
2020-02-15,DE,Germany,EURO,0,15,0,0
2020-02-16,DE,Germany,EURO,0,15,0,0
2020-02-17,DE,Germany,EURO,0,15,0,0
2020-02-18,DE,Germany,EURO,0,15,0,0
2020-02-19,DE,Germany,EURO,0,15,0,0
2020-02-20,DE,Germany,EURO,0,15,0,0
2020-02-21,DE,Germany,EURO,0,15,0,0
2020-02-22,DE,Germany,EURO,0,15,0,0
2020-02-23,DE,Germany,EURO,0,15,0,0
2020-02-24,DE,Germany,EURO,0,15,0,0
2020-02-25,DE,Germany,EURO,0,15,0,0
2020-02-26,DE,Germany,EURO,2,17,0,0
2020-02-27,DE,Germany,EURO,4,21,0,0
2020-02-28,DE,Germany,EURO,26,47,0,0
2020-02-29,DE,Germany,EURO,10,57,0,0
2020-03-01,DE,Germany,EURO,54,111,0,0
2020-03-02,DE,Germany,EURO,18,129,0,0
2020-03-03,DE,Germany,EURO,28,157,0,0
2020-03-04,DE,Germany,EURO,39,196,0,0
2020-03-05,DE,Germany,EURO,66,262,0,0
2020-03-06,DE,Germany,EURO,138,400,0,0
2020-03-07,DE,Germany,EURO,284,684,0,0
2020-03-08,DE,Germany,EURO,163,847,0,0
2020-03-09,DE,Germany,EURO,55,902,0,0
2020-03-10,DE,Germany,EURO,237,1139,2,2
2020-03-11,DE,Germany,EURO,157,1296,0,2
2020-03-12,DE,Germany,EURO,271,1567,1,3
2020-03-13,DE,Germany,EURO,802,2369,2,5
2020-03-14,DE,Germany,EURO,693,3062,0,5
2020-03-15,DE,Germany,EURO,733,3795,3,8
2020-03-16,DE,Germany,EURO,1043,4838,4,12
2020-03-17,DE,Germany,EURO,1174,6012,1,13
2020-03-18,DE,Germany,EURO,1144,7156,0,13
2020-03-19,DE,Germany,EURO,1042,8198,0,13
2020-03-20,DE,Germany,EURO,5940,14138,30,43
2020-03-21,DE,Germany,EURO,4049,18187,2,45
2020-03-22,DE,Germany,EURO,3276,21463,22,67
2020-03-23,DE,Germany,EURO,3311,24774,27,94
2020-03-24,DE,Germany,EURO,4438,29212,32,126
2020-03-25,DE,Germany,EURO,2342,31554,23,149
2020-03-26,DE,Germany,EURO,4954,36508,49,198
2020-03-27,DE,Germany,EURO,5780,42288,55,253
2020-03-28,DE,Germany,EURO,6294,48582,72,325
2020-03-29,DE,Germany,EURO,3965,52547,64,389
2020-03-30,DE,Germany,EURO,4751,57298,66,455
2020-03-31,DE,Germany,EURO,4615,61913,128,583
2020-04-01,DE,Germany,EURO,5453,67366,149,732
2020-04-02,DE,Germany,EURO,6156,73522,140,872
2020-04-03,DE,Germany,EURO,6174,79696,145,1017
2020-04-04,DE,Germany,EURO,6082,85778,141,1158
