Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-29,IT,Italy,EURO,2,2,0,0
2020-01-30,IT,Italy,EURO,0,2,0,0
2020-01-31,IT,Italy,EURO,0,2,0,0
2020-02-01,IT,Italy,EURO,0,2,0,0
2020-02-02,IT,Italy,EURO,0,2,0,0
2020-02-03,IT,Italy,EURO,0,2,0,0
2020-02-04,IT,Italy,EURO,0,2,0,0
2020-02-05,IT,Italy,EURO,0,2,0,0
2020-02-06,IT,Italy,EURO,0,2,0,0
2020-02-07,IT,Italy,EURO,1,3,0,0
2020-02-08,IT,Italy,EURO,0,3,0,0
2020-02-09,IT,Italy,EURO,0,3,0,0
2020-02-10,IT,Italy,EURO,0,3,0,0
2020-02-11,IT,Italy,EURO,0,3,0,0
2020-02-12,IT,Italy,EURO,0,3,0,0
2020-02-13,IT,Italy,EURO,0,3,0,0
2020-02-14,IT,Italy,EURO,0,3,0,0
2020-02-15,IT,Italy,EURO,0,3,0,0
2020-02-16,IT,Italy,EURO,0,3,0,0
2020-02-17,IT,Italy,EURO,0,3,0,0
2020-02-18,IT,Italy,EURO,0,3,0,0
2020-02-19,IT,Italy,EURO,0,3,0,0
2020-02-20,IT,Italy,EURO,0,3,0,0
2020-02-21,IT,Italy,EURO,1,4,0,0
2020-02-22,IT,Italy,EURO,7,11,2,2
2020-02-23,IT,Italy,EURO,113,124,0,2
2020-02-24,IT,Italy,EURO,105,229,5,7
2020-02-25,IT,Italy,EURO,93,322,5,12
2020-02-26,IT,Italy,EURO,78,400,0,12
2020-02-27,IT,Italy,EURO,250,650,5,17
2020-02-28,IT,Italy,EURO,238,888,4,21
2020-02-29,IT,Italy,EURO,240,1128,8,29
2020-03-01,IT,Italy,EURO,561,1689,6,35
2020-03-02,IT,Italy,EURO,347,2036,17,52
2020-03-03,IT,Italy,EURO,466,2502,28,80
2020-03-04,IT,Italy,EURO,587,3089,27,107
2020-03-05,IT,Italy,EURO,769,3858,41,148
2020-03-06,IT,Italy,EURO,778,4636,49,197
2020-03-07,IT,Italy,EURO,1247,5883,37,234
2020-03-08,IT,Italy,EURO,1492,7375,132,366
2020-03-09,IT,Italy,EURO,1797,9172,97,463
2020-03-10,IT,Italy,EURO,977,10149,168,631
2020-03-11,IT,Italy,EURO,2313,12462,196,827
2020-03-12,IT,Italy,EURO,2651,15113,189,1016
2020-03-13,IT,Italy,EURO,2547,17660,252,1268
2020-03-14,IT,Italy,EURO,3497,21157,173,1441
2020-03-15,IT,Italy,EURO,3590,24747,368,1809
2020-03-16,IT,Italy,EURO,3233,27980,349,2158
2020-03-17,IT,Italy,EURO,3526,31506,347,2505
2020-03-18,IT,Italy,EURO,4207,35713,473,2978
2020-03-19,IT,Italy,EURO,5322,41035,429,3407
2020-03-20,IT,Italy,EURO,5986,47021,625,4032
2020-03-21,IT,Italy,EURO,6557,53578,795,4827
2020-03-22,IT,Italy,EURO,0,53578,0,4827
2020-03-23,IT,Italy,EURO,5560,59138,649,5476
2020-03-24,IT,Italy,EURO,4789,63927,601,6077
2020-03-25,IT,Italy,EURO,5249,69176,743,6820
2020-03-26,IT,Italy,EURO,5210,74386,685,7505
2020-03-27,IT,Italy,EURO,6153,80539,660,8165
2020-03-28,IT,Italy,EURO,5959,86498,971,9136
2020-03-29,IT,Italy,EURO,5974,92472,887,10023
2020-03-30,IT,Italy,EURO,5217,97689,758,10781
2020-03-31,IT,Italy,EURO,4050,101739,810,11591
2020-04-01,IT,Italy,EURO,4053,105792,839,12430
2020-04-02,IT,Italy,EURO,4782,110574,727,13157
2020-04-03,IT,Italy,EURO,4668,115242,760,13917
2020-04-04,IT,Italy,EURO,4585,119827,764,14681
2020-04-05,IT,Italy,EURO,4805,124632,681,15362
2020-04-06,IT,Italy,EURO,4316,128948,527,15889
2020-04-07,IT,Italy,EURO,3599,132547,636,16525
2020-04-08,IT,Italy,EURO,3039,135586,604,17129
2020-04-09,IT,Italy,EURO,3836,139422,540,17669
2020-04-10,IT,Italy,EURO,4204,143626,612,18281
2020-04-11,IT,Italy,EURO,3951,147577,570,18851
2020-04-12,IT,Italy,EURO,4694,152271,619,19470
2020-04-13,IT,Italy,EURO,4092,156363,431,19901
2020-04-14,IT,Italy,EURO,3153,159516,564,20465
2020-04-15,IT,Italy,EURO,2972,162488,604,21069
2020-04-16,IT,Italy,EURO,2667,165155,578,21647
2020-04-17,IT,Italy,EURO,3786,168941,525,22172
2020-04-18,IT,Italy,EURO,3493,172434,575,22747
2020-04-19,IT,Italy,EURO,3491,175925,480,23227
2020-04-20,IT,Italy,EURO,3047,178972,433,23660
2020-04-21,IT,Italy,EURO,2256,181228,454,24114
