Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-02-02,ES,Spain,EURO,1,1,0,0
2020-02-03,ES,Spain,EURO,0,1,0,0
2020-02-04,ES,Spain,EURO,0,1,0,0
2020-02-05,ES,Spain,EURO,0,1,0,0
2020-02-06,ES,Spain,EURO,0,1,0,0
2020-02-07,ES,Spain,EURO,0,1,0,0
2020-02-08,ES,Spain,EURO,0,1,0,0
2020-02-09,ES,Spain,EURO,0,1,0,0
2020-02-10,ES,Spain,EURO,1,2,0,0
2020-02-11,ES,Spain,EURO,0,2,0,0
2020-02-12,ES,Spain,EURO,0,2,0,0
2020-02-13,ES,Spain,EURO,0,2,1,1
2020-02-14,ES,Spain,EURO,0,2,0,1
2020-02-15,ES,Spain,EURO,0,2,0,1
2020-02-16,ES,Spain,EURO,0,2,0,1
2020-02-17,ES,Spain,EURO,0,2,0,1
2020-02-18,ES,Spain,EURO,0,2,0,1
2020-02-19,ES,Spain,EURO,0,2,0,1
2020-02-20,ES,Spain,EURO,0,2,0,1
2020-02-21,ES,Spain,EURO,0,2,0,1
2020-02-22,ES,Spain,EURO,0,2,0,1
2020-02-23,ES,Spain,EURO,0,2,0,1
2020-02-24,ES,Spain,EURO,0,2,0,1
2020-02-25,ES,Spain,EURO,0,2,0,1
2020-02-26,ES,Spain,EURO,1,3,0,1
2020-02-27,ES,Spain,EURO,9,12,0,1
2020-02-28,ES,Spain,EURO,13,25,0,1
2020-02-29,ES,Spain,EURO,7,32,0,1
2020-03-01,ES,Spain,EURO,13,45,0,1
2020-03-02,ES,Spain,EURO,21,66,0,1
2020-03-03,ES,Spain,EURO,48,114,1,2
2020-03-04,ES,Spain,EURO,37,151,2,4
2020-03-05,ES,Spain,EURO,49,200,1,5
2020-03-06,ES,Spain,EURO,61,261,3,8
2020-03-07,ES,Spain,EURO,113,374,3,11
2020-03-08,ES,Spain,EURO,0,374,14,25
2020-03-09,ES,Spain,EURO,0,374,16,41
2020-03-10,ES,Spain,EURO,650,1024,26,67
2020-03-11,ES,Spain,EURO,598,1622,35,102
2020-03-12,ES,Spain,EURO,518,2140,55,157
2020-03-13,ES,Spain,EURO,825,2965,78,235
2020-03-14,ES,Spain,EURO,1266,4231,104,339
2020-03-15,ES,Spain,EURO,1522,5753,129,468
2020-03-16,ES,Spain,EURO,2000,7753,176,644
2020-03-17,ES,Spain,EURO,1438,9191,186,830
2020-03-18,ES,Spain,EURO,1987,11178,234,1064
2020-03-19,ES,Spain,EURO,2538,13716,307,1371
2020-03-20,ES,Spain,EURO,3431,17147,418,1789
2020-03-21,ES,Spain,EURO,2833,19980,494,2283
2020-03-22,ES,Spain,EURO,4946,24926,535,2818
2020-03-23,ES,Spain,EURO,3646,28572,659,3477
2020-03-24,ES,Spain,EURO,4517,33089,707,4184
2020-03-25,ES,Spain,EURO,6584,39673,782,4966
2020-03-26,ES,Spain,EURO,7937,47610,843,5809
2020-03-27,ES,Spain,EURO,8578,56188,877,6686
2020-03-28,ES,Spain,EURO,7871,64059,814,7500
2020-03-29,ES,Spain,EURO,8189,72248,788,8288
2020-03-30,ES,Spain,EURO,6549,78797,888,9176
2020-03-31,ES,Spain,EURO,6398,85195,870,10046
2020-04-01,ES,Spain,EURO,9222,94417,868,10914
2020-04-02,ES,Spain,EURO,7719,102136,814,11728
2020-04-03,ES,Spain,EURO,8102,110238,759,12487
2020-04-04,ES,Spain,EURO,7472,117710,708,13195
2020-04-05,ES,Spain,EURO,7026,124736,724,13919
2020-04-06,ES,Spain,EURO,6023,130759,733,14652
2020-04-07,ES,Spain,EURO,4273,135032,713,15365
2020-04-08,ES,Spain,EURO,5478,140510,713,16078
2020-04-09,ES,Spain,EURO,6180,146690,642,16720
2020-04-10,ES,Spain,EURO,5756,152446,643,17363
2020-04-11,ES,Spain,EURO,4576,157022,593,17956
2020-04-12,ES,Spain,EURO,4830,161852,521,18477
2020-04-13,ES,Spain,EURO,4167,166019,563,19040
2020-04-14,ES,Spain,EURO,3477,169496,575,19615
2020-04-15,ES,Spain,EURO,6538,176034,526,20141
2020-04-16,ES,Spain,EURO,4040,180074,463,20604
2020-04-17,ES,Spain,EURO,4400,184474,476,21080
2020-04-18,ES,Spain,EURO,4104,188578,410,21490
2020-04-19,ES,Spain,EURO,2213,190791,375,21865
2020-04-20,ES,Spain,EURO,2585,193376,359,22224
2020-04-21,ES,Spain,EURO,3352,196728,396,22620
2020-04-22,ES,Spain,EURO,2627,199355,318,22938
2020-04-23,ES,Spain,EURO,3052,202407,300,23238
2020-04-24,ES,Spain,EURO,2767,205174,313,23551
2020-04-25,ES,Spain,EURO,2944,208118,280,23831
2020-04-26,ES,Spain,EURO,1346,209464,465,24296
2020-04-27,ES,Spain,EURO,1729,211193,250,24546
2020-04-28,ES,Spain,EURO,1831,213024,247,24793
2020-04-29,ES,Spain,EURO,1308,214332,224,25017
2020-04-30,ES,Spain,EURO,2144,216476,206,25223
2020-05-01,ES,Spain,EURO,518,216994,170,25393
2020-05-02,ES,Spain,EURO,1781,218775,191,25584
2020-05-03,ES,Spain,EURO,1366,220141,185,25769
2020-05-04,ES,Spain,EURO,884,221025,177,25946
2020-05-05,ES,Spain,EURO,545,221570,175,26121
2020-05-06,ES,Spain,EURO,1318,222888,147,26268
2020-05-07,ES,Spain,EURO,996,223884,158,26426
2020-05-08,ES,Spain,EURO,1122,225006,140,26566
2020-05-09,ES,Spain,EURO,1410,226416,121,26687
2020-05-10,ES,Spain,EURO,721,227137,106,26793
2020-05-11,ES,Spain,EURO,461,227598,118,26911
2020-05-12,ES,Spain,EURO,610,228208,108,27019
2020-05-13,ES,Spain,EURO,707,228915,88,27107
2020-05-14,ES,Spain,EURO,724,229639,83,27190
2020-05-15,ES,Spain,EURO,695,230334,70,27260
2020-05-16,ES,Spain,EURO,319,230653,58,27318
2020-05-17,ES,Spain,EURO,226,230879,53,27371
2020-05-18,ES,Spain,EURO,574,231453,65,27436
2020-05-19,ES,Spain,EURO,766,232219,60,27496
2020-05-20,ES,Spain,EURO,665,232884,54,27550
2020-05-21,ES,Spain,EURO,718,233602,62,27612
2020-05-22,ES,Spain,EURO,746,234348,64,27676
2020-05-23,ES,Spain,EURO,289,234637,59,27735
2020-05-24,ES,Spain,EURO,233,234870,51,27786
2020-05-25,ES,Spain,EURO,526,235396,56,27842
2020-05-26,ES,Spain,EURO,686,236082,42,27884
2020-05-27,ES,Spain,EURO,583,236665,35,27919
2020-05-28,ES,Spain,EURO,630,237295,34,27953
2020-05-29,ES,Spain,EURO,680,237975,37,27990
2020-05-30,ES,Spain,EURO,329,238304,39,28029
2020-05-31,ES,Spain,EURO,159,238463,32,28061
2020-06-01,ES,Spain,EURO,332,238795,24,28085
2020-06-02,ES,Spain,EURO,459,239254,34,28119
2020-06-03,ES,Spain,EURO,574,239828,24,28143
2020-06-04,ES,Spain,EURO,491,240319,33,28176
2020-06-05,ES,Spain,EURO,625,240944,16,28192
2020-06-06,ES,Spain,EURO,243,241187,21,28213
2020-06-07,ES,Spain,EURO,139,241326,14,28227
2020-06-08,ES,Spain,EURO,337,241663,19,28246
2020-06-09,ES,Spain,EURO,413,242076,11,28257
2020-06-10,ES,Spain,EURO,434,242510,25,28282
2020-06-11,ES,Spain,EURO,352,242862,15,28297
2020-06-12,ES,Spain,EURO,459,243321,9,28306
2020-06-13,ES,Spain,EURO,105,243426,10,28316
2020-06-14,ES,Spain,EURO,81,243507,9,28325
2020-06-15,ES,Spain,EURO,280,243787,9,28334
2020-06-16,ES,Spain,EURO,359,244146,6,28340
2020-06-17,ES,Spain,EURO,337,244483,6,28346
2020-06-18,ES,Spain,EURO,372,244855,3,28349
2020-06-19,ES,Spain,EURO,336,245191,3,28352
2020-06-20,ES,Spain,EURO,227,245418,3,28355
2020-06-21,ES,Spain,EURO,178,245596,5,28360
2020-06-22,ES,Spain,EURO,230,245826,0,28360
2020-06-23,ES,Spain,EURO,414,246240,4,28364
2020-06-24,ES,Spain,EURO,337,246577,1,28365
2020-06-25,ES,Spain,EURO,341,246918,5,28370
2020-06-26,ES,Spain,EURO,472,247390,4,28374
2020-06-27,ES,Spain,EURO,240,247630,1,28375
2020-06-28,ES,Spain,EURO,195,247825,7,28382
2020-06-29,ES,Spain,EURO,249,248074,6,28388
2020-06-30,ES,Spain,EURO,434,248508,2,28390
2020-07-01,ES,Spain,EURO,407,248915,4,28394
2020-07-02,ES,Spain,EURO,463,249378,1,28395
2020-07-03,ES,Spain,EURO,574,249952,0,28395
2020-07-04,ES,Spain,EURO,267,250219,3,28398
2020-07-05,ES,Spain,EURO,195,250414,2,28400
2020-07-06,ES,Spain,EURO,299,250713,2,28402
2020-07-07,ES,Spain,EURO,680,251393,0,28402
2020-07-08,ES,Spain,EURO,711,252104,2,28404
2020-07-09,ES,Spain,EURO,825,252929,2,28406
2020-07-10,ES,Spain,EURO,1091,254020,2,28408
2020-07-11,ES,Spain,EURO,617,254637,1,28409
2020-07-12,ES,Spain,EURO,367,255004,1,28410
2020-07-13,ES,Spain,EURO,791,255795,2,28412
2020-07-14,ES,Spain,EURO,1102,256897,0,28412
2020-07-15,ES,Spain,EURO,1400,258297,5,28417
