Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-20,US,United States of America,AMRO,5,5,0,0
2020-01-21,US,United States of America,AMRO,0,5,0,0
2020-01-22,US,United States of America,AMRO,0,5,0,0
2020-01-23,US,United States of America,AMRO,0,5,0,0
2020-01-24,US,United States of America,AMRO,1,6,0,0
2020-01-25,US,United States of America,AMRO,0,6,0,0
2020-01-26,US,United States of America,AMRO,3,9,0,0
2020-01-27,US,United States of America,AMRO,0,9,0,0
2020-01-28,US,United States of America,AMRO,0,9,0,0
2020-01-29,US,United States of America,AMRO,0,9,0,0
2020-01-30,US,United States of America,AMRO,1,10,0,0
2020-01-31,US,United States of America,AMRO,1,11,0,0
2020-02-01,US,United States of America,AMRO,1,12,0,0
2020-02-02,US,United States of America,AMRO,0,12,0,0
2020-02-03,US,United States of America,AMRO,3,15,0,0
2020-02-04,US,United States of America,AMRO,0,15,0,0
2020-02-05,US,United States of America,AMRO,0,15,0,0
2020-02-06,US,United States of America,AMRO,1,16,0,0
2020-02-07,US,United States of America,AMRO,0,16,0,0
2020-02-08,US,United States of America,AMRO,0,16,0,0
2020-02-09,US,United States of America,AMRO,0,16,0,0
2020-02-10,US,United States of America,AMRO,0,16,0,0
2020-02-11,US,United States of America,AMRO,1,17,0,0
2020-02-12,US,United States of America,AMRO,0,17,0,0
2020-02-13,US,United States of America,AMRO,2,19,0,0
2020-02-14,US,United States of America,AMRO,0,19,0,0
2020-02-15,US,United States of America,AMRO,0,19,0,0
2020-02-16,US,United States of America,AMRO,0,19,0,0
2020-02-17,US,United States of America,AMRO,0,19,0,0
2020-02-18,US,United States of America,AMRO,0,19,0,0
2020-02-19,US,United States of America,AMRO,0,19,0,0
2020-02-20,US,United States of America,AMRO,0,19,0,0
2020-02-21,US,United States of America,AMRO,19,38,0,0
2020-02-22,US,United States of America,AMRO,1,39,0,0
2020-02-23,US,United States of America,AMRO,0,39,0,0
2020-02-24,US,United States of America,AMRO,18,57,0,0
2020-02-25,US,United States of America,AMRO,0,57,0,0
2020-02-26,US,United States of America,AMRO,6,63,0,0
2020-02-27,US,United States of America,AMRO,0,63,0,0
2020-02-28,US,United States of America,AMRO,3,66,0,0
2020-02-29,US,United States of America,AMRO,0,66,0,0
2020-03-01,US,United States of America,AMRO,0,66,0,0
2020-03-02,US,United States of America,AMRO,2,68,0,0
2020-03-03,US,United States of America,AMRO,44,112,2,2
2020-03-04,US,United States of America,AMRO,21,133,3,5
2020-03-05,US,United States of America,AMRO,19,152,5,10
